titles,authorNames,times,descs,imgs,hrefs
New Torque Logo,Team Torque,30 s,,Assets/1A.png,Articles/0001.html
Foreword,Team Torque,2 min,Torque 3.0,Assets/2A.svg,Articles/0002.html
From the Director’s Desk,Prof. Sudhir K. Jain,1 min,Torque 3.0,https://iitgn.ac.in/media/pages/faculty/civil/fac-skjain/3163897598-1600344525/skjain.jpg,Articles/0003.html
From the Dean’s Desk,Prof. Sivapriya Kirubakaran,30 s,Torque 3.0,https://iitgn.ac.in/media/pages/faculty/chemistry/fac-sivapriya/1919414313-1600344524/sivapriya.JPG,Articles/0004.html
From the FA’s Desk,Prof. Anirban Dasgupta,1 min,Torque 3.0,https://iitgn.ac.in/media/pages/faculty/cse/anirban/729890348-1612245003/anirban.jpg,Articles/0005.html
Letters from Tech Secy,Kanishk Kalra,1 min,Torque 3.0,Assets/letter.svg,Articles/0006.html
Letters from Tech Secy,Vrutik Shah,1 min,Torque 3.0,Assets/letter.svg,Articles/0007.html
Letter from General Secy,Rama Balhara,1 min,Torque 3.0,Assets/letter2.svg,Articles/0008.html
Letters from the TORQUE Team,Deepika Soni,1 min,Torque 3.0,Assets/letter2.svg,Articles/0009.html
Letters from the TORQUE Team,Praveen Venkatesh,1 min,Torque 3.0,Assets/letter.svg,Articles/0010.html
Letters from the TORQUE Team,Jayesh Khanna,1 min,Torque 3.0,Assets/letter.svg,Articles/0011.html
Letters from the TORQUE Team,Shashi Sarraf,1 min,Torque 3.0,Assets/letter.svg,Articles/0012.html
A Lesson from the Pandemic,Deepika Soni,6 min 30 s,We humans have a penchant for homeostasis. We want to go back to norma,Assets/13A.jpg,Articles/0013.html
Abhaṇa,Devangshu Nandi,6 min,"""The capitalist pig waits for the world to burn only to pick up what didn’t catch fire and sells it at the price of gold.""",Assets/14A.jpg,Articles/0014.html
The road ahead,Ayush Kumar,3 min,One of the prime observations from the current pandemic is that even the developed nations failed to keep themselves alienated and safe from the disaster.,Assets/15A.jpg,Articles/0015.html
Pandemic? What pandemic? We’re Innovators!,Praveen Venkatesh,2 min 30 s,“When life gives you lemon,Assets/16A.jpg,Articles/0016.html
PYAAR KIYA TOH DARNA KYA? ,Abhinanda Dash & Uzma Sarwat,3 min 30 s,An initiative by Awaa,Assets/17A.jpg,Articles/0017.html
Professor Next Doo,,2 min,Professor Jooyoung Ki,https://iitgn.ac.in/media/pages/faculty/hss/fac-jooyoung/1363384721-1600344526/jooyoung.jpg,Articles/0018.html
Professor Next Doo,,10 min 30 s,Prof Manish Kumar - Assistant Professo,Assets/19A.png,Articles/0019.html
Opinion Pieces,,1 min,Essay Writing Competition,Assets/letter3.svg,Articles/0020.html
Is Health Care a Right or a Commodity?,Yash Kamble,5 min 30 s,Opinion Piec,Assets/21A.jpg,Articles/0021.html
Is Health Care a Right or a Commodity?,Parichay Thakore,6 min,Opinion Piec,Assets/22A.jpg,Articles/0022.html
CLIMATE CHANG,Aman Raj,6 min 30 s,“The Earth has enough resources for our need but not for our greed.”<br>                                                           - MAHATMA GANDHI,Assets/23A.jpg,Articles/0023.html
Freshmen Survey - The Batch of 2020,Team Torque,3 min,Torque 3.,Assets/24A.jpg,Articles/0024.html
Doodles,,1 min,Doodling Competitio,,Articles/0025.html
Dialogue with Mr Anand Pandey,,10 min 30 s,Highlights @ IITGN - Ft. the Incubation Cente,Assets/26B.jpg,Articles/0026.html
The Start-up Showcase @ IITGN,,5 min 30 s,Skinzy and MiCoB,,Articles/0027.html
Run Your Own Shop,,3 min,Serene Store and artRIA,,Articles/0028.html
Clubs and Activities,,5 min 30 s,,,Articles/0029.html
In-House Author - Pratyush Bhatt,Team Torque,2 min 30 s,Torque 3.0,,Articles/0030.html
Alumni Diaries - Pankaj Vatwani,Pankaj Vatwani,3 min,Pankaj Vatwan,,Articles/0031.html
Featuring Winners of Torque Competitions,Team Torque,1 min,Congratulations to all the winners!,Assets/32A.jpg,Articles/0032.html
